image_path,label,video_path,user_id
Processed Dataset/ProcessedHandGesture/CurtainGesture/Hamad/CGH1.png,curtain,Dataset\HandGesture\CurtainGesture\Hamad\CGH1,hamad
Processed Dataset/ProcessedHandGesture/CurtainGesture/Hamad/CGH2.png,curtain,Dataset\HandGesture\CurtainGesture\Hamad\CGH2,hamad
Processed Dataset/ProcessedHandGesture/CurtainGesture/Hamad/CGH3.png,curtain,Dataset\HandGesture\CurtainGesture\Hamad\CGH3,hamad
Processed Dataset/ProcessedHandGesture/CurtainGesture/Hamad/CGH4.png,curtain,Dataset\HandGesture\CurtainGesture\Hamad\CGH4,hamad
Processed Dataset/ProcessedHandGesture/CurtainGesture/Hamad/CGH5.png,curtain,Dataset\HandGesture\CurtainGesture\Hamad\CGH5,hamad
Processed Dataset/ProcessedHandGesture/CurtainGesture/Hamad/CGH6.png,curtain,Dataset\HandGesture\CurtainGesture\Hamad\CGH6,hamad
Processed Dataset/ProcessedHandGesture/CurtainGesture/Hamad/CGH7.png,curtain,Dataset\HandGesture\CurtainGesture\Hamad\CGH7,hamad
Processed Dataset/ProcessedHandGesture/CurtainGesture/Hamad/CGH8.png,curtain,Dataset\HandGesture\CurtainGesture\Hamad\CGH8,hamad
Processed Dataset/ProcessedHandGesture/CurtainGesture/Hamad/CGH9.png,curtain,Dataset\HandGesture\CurtainGesture\Hamad\CGH9,hamad
Processed Dataset/ProcessedHandGesture/CurtainGesture/Hamad/CGH10.png,curtain,Dataset\HandGesture\CurtainGesture\Hamad\CGH10,hamad
Processed Dataset/ProcessedHandGesture/CurtainGesture/Mohammad/CGM1.png,curtain,Dataset\HandGesture\CurtainGesture\Mohammad\CGM1,mohammad
Processed Dataset/ProcessedHandGesture/CurtainGesture/Mohammad/CGM2.png,curtain,Dataset\HandGesture\CurtainGesture\Mohammad\CGM2,mohammad
Processed Dataset/ProcessedHandGesture/CurtainGesture/Mohammad/CGM3.png,curtain,Dataset\HandGesture\CurtainGesture\Mohammad\CGM3,mohammad
Processed Dataset/ProcessedHandGesture/CurtainGesture/Mohammad/CGM4.png,curtain,Dataset\HandGesture\CurtainGesture\Mohammad\CGM4,mohammad
Processed Dataset/ProcessedHandGesture/CurtainGesture/Mohammad/CGM5.png,curtain,Dataset\HandGesture\CurtainGesture\Mohammad\CGM5,mohammad
Processed Dataset/ProcessedHandGesture/CurtainGesture/Mohammad/CGM6.png,curtain,Dataset\HandGesture\CurtainGesture\Mohammad\CGM6,mohammad
Processed Dataset/ProcessedHandGesture/CurtainGesture/Mohammad/CGM7.png,curtain,Dataset\HandGesture\CurtainGesture\Mohammad\CGM7,mohammad
